Time,Temperature
280734,33.11
281138,33.07
281541,32.99
281945,32.82
282348,32.66
282752,32.6
283155,32.53
283558,32.5
283962,32.44
284365,32.38
284768,32.24
285171,32.16
285575,32.1
285978,31.99
286382,31.87
286785,31.8
287188,31.76
287592,31.74
287995,31.71
288399,31.6
288802,31.48
289206,31.36
289609,31.28
290012,31.22
290415,31.15
290819,31.14
291222,31.08
291625,31.06
292029,30.99
292432,30.89
292836,30.75
293239,30.62
293643,30.62
294046,30.58
294450,30.58
294853,30.57
295256,30.45
295659,30.33
296062,30.28
296466,30.18
296869,30.1
297273,30.02
297676,29.97
298080,29.86
298483,29.85
298887,29.8
299290,29.69
299694,29.61
300096,29.55
300499,29.56
300903,29.58
301306,29.55
301710,29.5
302113,29.44
302517,29.38
302920,29.33
303324,29.23
303727,29.14
304131,29.1
304534,29.1
304937,29.16
305340,29.09
305743,29.08
306147,28.98
306550,28.85
306954,28.78
307357,28.85
307761,28.98
308164,28.99
308568,28.93
308971,28.97
309374,28.9
309778,28.81
310181,28.71
310584,28.62
310987,28.56
311391,28.52
311794,28.5
312198,28.5
312601,28.45
313005,28.41
313408,28.35
313811,28.29
314215,28.17
314618,28.07
315022,28.07
315425,28.08
315828,28.08
316231,28.07
316635,28
317038,27.93
317442,27.84
317845,27.75
318248,27.73
318652,27.7
319055,27.73
319459,27.72
319862,27.75
320266,27.71
320668,27.65
321072,27.57
321475,27.51
321879,27.49
322282,27.42
322685,27.41
323089,27.42
323492,27.42
323896,27.45
324299,27.44
324703,27.38
325106,27.27
325510,27.18
325912,27.18
326316,27.15
326719,27.15
327122,27.17
327526,27.16
327929,27.15
328333,27.13
328736,27.07
329140,27
329543,26.92
329947,26.9
330350,26.95
330754,26.96
331156,26.98
331559,27
331963,26.98
332366,26.96
332770,26.92
333173,26.84
333577,26.76
333980,26.72
334384,26.72
334787,26.73
335191,26.76
335594,26.75
335996,26.76
336400,26.75
336803,26.68
337207,26.62
337610,26.55
338014,26.52
338417,26.51
338821,26.6
339224,26.62
339628,26.64
340031,26.51
340434,26.41
340838,26.86
341240,26.35
341644,25.99
